gtin,varyant_barkod,baslik,marka,kategori,stok,teklif_sayisi,satilabilir,slug
8680434220052,,CC II Plus+ Masaj Jeli 100ml - 2AL1ÖDE,,Sağlık Ve Medikal > Eklem Sağlığı,293,1,t,cc-ii-plus-masaj-jeli-100ml-2al1ode
8697595873540,,Ocean İmunol Kara Mürver & Çilek Aromalı Pastil 12 Adet,Ocean,Besin Takviyeleri > Pastiller,288,2,t,ocean-imunol-kara-murver-cilek-aromali-pastil-12-adet
7391899856131,,Biotrue Lens Solüsyonu 100 ml,Biotrue,Sağlık Ve Medikal > Göz Sağlığı Ürünleri,287,2,t,biotrue-lens-solusyonu-100-ml
8690998216068,,Balparmak Apitera Propolis Turp Aromalı 16 Pastil,Balparmak,Besin Takviyeleri > Pastiller,285,1,t,balparmak-apitera-propolis-turp-aromali-16-pastil
8689415912812,,New A1 L Carnitine Lepidium Bitkisel 30 Kapsül,,Besin Takviyeleri > Bitkisel Besin Destekleri,282,2,t,new-a1-l-carnitine-lepidium-bitkisel-30-kapsul
8683229600750,,Viaxi Glide Jel 200ml,,Sağlık Ve Medikal > Cinsel Sağlık Ürünleri > Kayganlaştırıcı Jeller,271,3,t,viaxi-glide-jel-200ml
8690998216044,,Balparmak Apitera Propolis Karamürver Aromalı 16 Pastil,Balparmak,Besin Takviyeleri > Pastiller,268,1,t,balparmak-apitera-propolis-karamurver-aromali-16-pastil
8681794082599,,EasyVit EasyFishOil Defence 30 Tablet,,Besin Takviyeleri > Omega Yağ Asitleri > Omega 3,268,1,t,easyvit-easyfishoil-defence-30-tablet
8683675618231,,LeeRoy Mumiyo 60 Tablet,,Besin Takviyeleri > MultiVitaminler,246,1,t,leeroy-mumiyo-60-tablet
8697595873786,,Ocean Microfer 60 Tablet Takviye Edici Gıda,,Besin Takviyeleri > Minareller > Demir Mineralleri,245,2,t,ocean-microfer-60-tablet-takviye-edici-gida
8699592807528,,Roll Fix Flaster 2.5cm x 5m,,Sağlık Ve Medikal > Yara Ve Yanık Ürünleri,243,2,t,roll-fix-flaster-25cm-x-5m
8699753277399,,Okey Masaj Jeli  Kayganlaştırıcı Jel Ginseng 200 ml,,Sağlık Ve Medikal > Cinsel Sağlık Ürünleri > Masaj Yağları,238,2,t,okey-masaj-jeli-kayganlastirici-jel-ginseng-200-ml
8690088030959,,Avicenna Omega 3-6-9 200 Yumuşak Kapsül,Avicenna,Besin Takviyeleri > Omega Yağ Asitleri > Omega 3-6-9,233,1,t,avicenna-omega-3-6-9-200-yumusak-kapsul
8690088030956,,Avicenna Omega 3-6-9 200 Yumuşak Kapsül - 2AL1ÖDE,Avicenna,Besin Takviyeleri > Omega Yağ Asitleri > Omega 3-6-9,233,1,t,avicenna-omega-3-6-9-200-yumusak-kapsul-2al1ode
8690146830925,,Avicenna Omega 3-6-9 200 Yumuşak Kapsül x 2 Adet,Avicenna,Besin Takviyeleri > Omega Yağ Asitleri > Omega 3-6-9,233,1,t,avicenna-omega-3-6-9-200-yumusak-kapsul-x-2-adet
8681794082544,,EasyFishoil Multi Omega 3 30 Çiğnenebilir Jel Tablet,,Besin Takviyeleri > Omega Yağ Asitleri > Bebek & Çoçuklar İçin Omega Yağ Asitleri,230,1,t,easyfishoil-multi-omega-3-30-cignenebilir-jel-tablet
8699177824001,,Nurse Harveys Colex Bitkisel Şurup 145 ml,Nurse harveys,Besin Takviyeleri > Bitkisel Besin Destekleri,227,2,t,nurse-harveys-colex-bitkisel-surup-145-ml
8682048493611,,Delta P-5-P Vitamin B6 100ml,,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Bağışıklık Sistemi Güçlendirici Şuruplar,227,2,t,delta-p-5-p-vitamin-b6-100ml
