gtin,varyant_barkod,baslik,marka,kategori,stok,teklif_sayisi,satilabilir,slug
8680287030116,,Sambucol Plus Efervesan 15 Tablet,Sambucol,Besin Takviyeleri > Mineral > Çinko,573,2,t,sambucol-plus-efervesan-15-tablet
8699546093939,,Supradyn Koenzim Q10 60 Film Kaplı Tablet,Supradyn,Besin Takviyeleri > Mineral > Bakır,571,2,t,supradyn-koenzim-q10-multivitamin-60-tablet
8850956093807,,Okey Klasik Prezervatif Ekonomik 20li,Okey,Kişisel Bakım > Cinsel Sağlık > Prezervatif,567,3,t,okey-klasik-20-adet
8699546020492,,Redoxon Pro 15 Efervesan Tablet,Redoxon,Besin Takviyeleri > Mineral > Bakır,564,2,t,redoxon-pro-efervesan-15-tablet
8697595870563,,Ocean Multi Şurup (Ballı Portakal Konsantreli) 150 ml,Ocean,Besin Takviyeleri > Mineral > Manganez,563,3,t,ocean-multi-surup-balik-yagi-bal-ve-portakal-aromali-150-ml
4710944881158,,Barbaris Liquid Collagen Takviye Edici Gıda 50 ml 10lu,Barbaris,Besin Takviyeleri > Kolajen > Kolajen Tip 1-3,561,2,t,barbaris-liquid-collagen-50-ml-10-adet
8680512634584,,Nutraxin Multi Mineral Complex 60 Tablet,Nutraxin,Besin Takviyeleri > Mineral > Bakır,561,2,t,nutraxin-multi-mineral-complex-60-tablet
4015672114333,,Omron M4 Connect A Fib Tansiyon Aleti,Omron,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Tansiyon Aleti,560,3,t,omron-m4-connect-a-fib-tansiyon-aleti
4015672111097,,Omron RS1 Bilekten Tansiyon Aleti,Omron,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Tansiyon Aleti,554,3,t,omron-rs1-tansiyon-aleti-dijital-bilekten-olcer
8699546020553,,Supradyn Energy Boost Taef 15 Efervesan Tablet,Supradyn,Besin Takviyeleri > Mineral > Magnezyum,550,2,t,supradyn-energy-boost-15-efervesan-tablet
8699514020158,,Youplus Vitamin C Çinko Propolis 20 Efervesan Tablet,Youplus,Besin Takviyeleri > Mineral > Çinko,546,3,t,youplus-vitamin-c-cinko-propolis-20-efervesan-tablet
8693283010051,,Kuteks Sargı Bezi 20 cm,Kuteks,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Pansuman Örtüleri,545,3,t,kuteks-sargi-bezi-20-cm
8058090019541,,Pic Solution Vedocolor Renkli Dijital Beden Derecesi,Pic Solution,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Ateş Ölçer,545,3,t,pic-solution-vedocolor-renkli-dijital-beden-derecesi
8680512631590,,Nutraxin Vitamin D3K2 Sprey 30 ml,Nutraxin,Besin Takviyeleri > Vitamin > D3 ve K2 Vitamin,542,2,t,nutraxin-vitamin-d3k2-30-ml
